time_s,profile_time_s,capacity_Ah
0,0,17.26168775
2307241.934,2613600,17.26418925
5007671.588,5227200,17.16804925
7673769.412,7840800,17.1598595
10332069.412,10454400,17.0976785
12991253.908,13068000,17.09690925
15645513.769,15681600,17.05380875
18300326.006,18295200,17.031732
20960086.071,20908800,17.001184
23618163.357,23522400,16.99599075
26256216.687,26136000,16.90788625
28912478.717,28749600,16.8703115
31970532.713,31363200,16.8402385
