time_s,BMR_A,BMP_A,SPM_A
123300,-14.867,-1.4104e-14,-1.6933
124200,-14.952,-2.2163e-14,-2.3103
125100,-19.301,-3.2237e-14,-2.793
126000,1.1144e-05,-6.0444e-15,-1.0307
126900,3.9667e-05,-1.6119e-14,-2.0575
127800,-3.3496e-05,-2.4178e-14,-3.3289
128700,-1.7378e-05,-3.6267e-14,-3.8018
129600,18.728,3.1859e-13,7.1256
130500,14.827,2.7578e-13,5.4033
131400,14.859,2.4807e-13,4.454
132300,19.459,2.2793e-13,3.8174
133200,-1.0074e-07,1.3915e-13,1.5598
134100,-4.4893e-05,1.3096e-13,1.0696
135000,2.9089e-05,1.2278e-13,0.9181
135900,1.593e-05,1.1711e-13,0.89721
136800,-2.5941e-05,3.8281e-14,-0.3775
137700,-3.3748e-05,3.4252e-14,-0.42919
138600,3.6833e-05,3.0222e-14,-0.37823
139500,2.2919e-05,2.8207e-14,-0.33646
140400,-18.859,-3.4441e-13,-13.085
141300,-15.048,-3.6896e-13,-9.1774
142200,-15.139,-4.0107e-13,-9.3816
143100,-18.827,-4.6341e-13,-6.6048
144000,3.1293e-05,-1.7315e-13,-5.7276
144900,3.4189e-05,-2.0148e-13,-5.5447
145800,-3.5196e-05,-2.4556e-13,-5.0231
146700,-3.0285e-05,-3.2048e-13,-4.4562
147600,3.2363e-05,5.656,0.29425
148500,3.5637e-05,5.656,0.035252
149400,-3.6456e-05,5.656,-0.057684
150300,-3.1544e-05,5.656,-0.31095
151200,18.771,5.656,17.148
152100,15.143,5.656,16.986
153000,15.153,5.656,16.075
153900,18.806,5.656,9.7954
154800,-3.1041e-05,5.656,0.52464
155700,-3.633e-05,5.656,0.33009
156600,3.6141e-05,5.656,0.2411
157500,3.123e-05,5.656,0.036041
158400,-2.9152e-05,0,0.0020183
159300,-3.5322e-05,1.53e-13,0.0019688
160200,3.7463e-05,8.2481e-14,0.0002103
161100,2.7074e-05,1.6307e-13,2.2415e-05
162000,-1.8574e-05,-6.0444e-14,-0.00018448
162900,-3.3056e-05,1.2089e-14,9.5704e-05
163800,4.5711e-05,1.8133e-14,7.8074e-05
164700,5.9311e-06,4.4326e-14,1.1648e-05
165600,-7.3037e-06,2.2163e-14,-7.9333e-05
166500,-4.5207e-05,4.6341e-14,6.863e-05
167400,3.3119e-05,7.8704e-14,1.0704e-05
168300,1.9393e-05,1.3474e-13,1.3978e-06
169200,-2.4367e-05,-7.4296e-14,-0.00010893
170100,-3.6644e-05,-2.8207e-14,9.1926e-05
171000,3.6644e-05,1.0074e-14,1.5111e-05
171900,2.4367e-05,5.037e-14,1.9959e-06
172800,-4.1807e-05,-6.2963e-09,-0.00015237
173700,-3.9856e-05,-2.5374e-09,0.00012781
174600,5.0748e-05,-8.437e-10,2.1848e-05
175500,3.0915e-05,5.4211e-10,2.9152e-06
176400,-1.4356e-05,-2.1596e-09,-4.5585e-05
177300,-4.4515e-05,-8.8778e-10,3.9352e-05
178200,4.5207e-05,1.6937e-10,5.8052e-06
179100,1.3726e-05,1.3096e-09,7.4296e-07
180000,-1.1081e-05,-4.242,-0.00010704
180900,-4.4074e-05,-4.242,9.0667e-05
181800,4.5333e-05,-4.242,1.4167e-05
182700,9.8222e-06,-4.242,1.8511e-06
183600,-19.358,-4.242,-11.149
184500,-14.483,-4.242,-7.1952
185400,-14.49,-4.242,-6.8605
186300,-19.541,-4.242,-7.0695
187200,5.4085e-06,-4.242,-2.2872
188100,4.3193e-05,-4.242,-2.4999
189000,-4.4137e-05,-4.242,-2.6869
189900,-4.4641e-06,-4.242,-4.2006
190800,9.4444e-06,-4.242,-3.7628
191700,4.7096e-05,-4.242,-3.6193
192600,-4.2374e-05,-4.242,-3.4496
193500,-1.4167e-05,-4.242,-3.3207
194400,1.4041e-05,2.2037e-09,1.4499
195300,4.3381e-05,6.2207e-10,2.0706
196200,-4.6089e-05,-7.6815e-10,1.2194
197100,-1.1333e-05,-2.443e-09,0.64348
198000,8.5e-06,1.4859e-08,11.155
198900,4.1304e-05,1.02e-08,6.8745
199800,-4.5522e-05,8.2481e-09,5.406
200700,-4.2248e-06,7.1148e-09,5.1279
201600,21.532,7.9963e-09,5.9146
202500,15.91,7.1778e-09,3.8122
203400,15.653,6.5481e-09,2.8365
204300,14.777,6.0193e-09,2.0344
205200,-7.9963e-05,5.503e-09,1.3872
206100,-1.4293e-05,5.1378e-09,1.0834
207000,6.2963e-05,4.823e-09,0.56695
207900,3.8911e-05,4.5396e-09,0.17192
208800,-19.462,1.7756e-09,-3.6468
209700,-14.458,1.6244e-09,-3.852
210600,-14.439,1.4733e-09,-3.934
211500,-19.513,1.3285e-09,-4.374
212400,2.9215e-06,2.21e-09,-4.0408
213300,4.76e-05,2.0589e-09,-4.1301
214200,-4.0989e-05,1.9078e-09,-4.1703
215100,-9.5704e-06,1.7693e-09,-4.1167
216000,19.413,4.242,12.207
216900,14.546,4.242,11.366
217800,14.534,4.242,9.8056
218700,19.379,4.242,4.6927
219600,-9.8222e-06,7.1778e-10,-0.37414
220500,-4.1367e-05,7.1148e-10,-0.33723
221400,4.7285e-05,7.1148e-10,-0.30856
222300,3.9415e-06,7.1148e-10,-0.27849
223200,-4.8041e-05,-2.8585e-10,-1.4569
224100,-0.00011396,-2.8774e-10,-2.0794
225000,1.423e-05,-2.8963e-10,-2.1351
225900,0.00014796,-2.9152e-10,-2.5406
226800,-19.873,-3.4944e-10,-3.0305
227700,-14.342,-3.5133e-10,-3.3925
228600,-14.385,-3.5259e-10,-3.7553
229500,-19.273,-3.5385e-10,-4.4439
230400,4.3633e-06,9.4444e-10,-3.3639
231300,4.6404e-05,9.4444e-10,-3.5078
232200,-4.1681e-05,9.4444e-10,-3.6317
233100,-9.0667e-06,9.3815e-10,-3.6026
234000,19.3,4.242,3.2442
234900,14.485,4.242,2.5705
235800,14.527,4.242,2.3258
236700,19.559,4.242,1.8382
237600,-19.567,4.242,-2.1619
238500,-14.531,4.242,-2.483
239400,-14.483,4.242,-2.5416
240300,-19.291,4.242,-2.8242
241200,19.517,4.242,12.634
242100,14.663,4.242,11.763
243000,14.557,4.242,10.113
243900,19.134,4.242,3.8592
244800,-1.1333e-05,-9.0037e-11,0.024999
245700,-4.3696e-05,2.1911e-10,0.067085
246600,4.5081e-05,5.3204e-10,0.061108
247500,9.9481e-06,8.563e-10,0.072421
248400,-19.478,-1.8322e-08,-7.5413
249300,-14.475,-1.5489e-08,-6.8086
250200,-14.476,-1.3789e-08,-5.8172
251100,-19.442,-1.253e-08,-6.1559
252000,8.1222e-06,6.4222e-09,6.6558
252900,4.0044e-05,6.8e-09,4.69
