time_s,profile_time_s,capacity_Ah
0,0,17.181936
2307388.836,2613600,17.24068125
5007217.415,5227200,17.146169
7670418.702,7840800,17.1164135
10331118.702,10454400,17.13530225
12986463.589,13068000,17.13602725
15639574.58,15681600,17.115454
18794104.682,18295200,17.09197075
21447760.961,20908800,17.078273
24104896.289,23522400,17.012404
26758313.398,26136000,16.9769105
29412238.366,28749600,16.933497
32480219.398,31363200,16.89880525
