timestamp,forecast_price_eur_mwh,slot_id,date,hour,minute,day_of_week,is_weekend,model_name,created_at_utc,forecast_reason
2026-01-01 08:45:00,100.645,35,2026-01-01,8,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 09:00:00,106.219,36,2026-01-01,9,0,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 09:15:00,100.36200000000001,37,2026-01-01,9,15,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 09:30:00,96.461,38,2026-01-01,9,30,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 09:45:00,86.643,39,2026-01-01,9,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 10:00:00,88.968,40,2026-01-01,10,0,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 10:15:00,85.68100000000001,41,2026-01-01,10,15,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 10:30:00,84.46799999999999,42,2026-01-01,10,30,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 10:45:00,82.523,43,2026-01-01,10,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 11:00:00,84.622,44,2026-01-01,11,0,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 11:15:00,83.696,45,2026-01-01,11,15,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 11:30:00,83.089,46,2026-01-01,11,30,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 11:45:00,82.154,47,2026-01-01,11,45,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 12:00:00,83.78299999999999,48,2026-01-01,12,0,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 12:15:00,83.73400000000001,49,2026-01-01,12,15,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
2026-01-01 12:30:00,84.33700000000002,50,2026-01-01,12,30,3,0,seasonal_slot_blend,2026-04-30T13:02:14Z,recent_slot_median_yesterday_blend
